country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Thailand,99,258,1,6.4
Mauritius,98,31,18,2.6
Cuba,93,137,5,4.2
Guyana,93,302,1,7.1
Equatorial guinea,92,0,233,5.8
Swaziland,90,2,2,4.7
Guinea,9,0,2,0.2
India,9,114,0,2.2
Iraq,9,3,0,0.2
Senegal,9,1,7,0.3
Albania,89,132,54,4.9
Burundi,88,0,0,6.3
Italy,85,42,237,6.5
Jamaica,82,97,9,3.4
Lesotho,82,29,0,2.8
Gambia,8,0,1,2.4
Malawi,8,11,1,1.5
Sudan,8,13,0,1.7
China,79,192,8,5.0
Nicaragua,78,118,1,3.5
Fiji,77,35,1,2.0
Japan,77,202,16,7.0
Mongolia,77,189,8,4.9
Bosnia-herzegovina,76,173,8,4.6
Congo,76,1,9,1.7
Philippines,71,186,1,4.6
Honduras,69,98,2,3.0
Zimbabwe,64,18,4,4.7
Israel,63,69,9,2.5
Laos,62,0,123,6.2
Micronesia,62,50,18,2.3
Singapore,60,12,11,1.5
Egypt,6,4,1,0.2
Jordan,6,21,1,0.5
Tuvalu,6,41,9,1.0
Yemen,6,0,0,0.1
Kenya,58,22,2,1.8
Cambodia,57,65,1,2.2
Sao tome & principe,56,38,140,4.2
Solomon islands,56,11,1,1.2
Guatemala,53,69,2,2.2
Dominica,52,286,26,6.6
El salvador,52,69,2,2.2
Georgia,52,100,149,5.4
Tunisia,51,3,20,1.3
Turkey,51,22,7,1.4
Indonesia,5,1,0,0.1
Mali,5,1,1,0.6
Myanmar,5,1,0,0.1
Nepal,5,6,0,0.2
Syria,5,35,16,1.0
Nauru,49,0,8,1.0
Mozambique,47,18,5,1.3
Uganda,45,9,0,8.3
Papua new guinea,44,39,1,1.5
Rwanda,43,2,0,6.8
Bahrain,42,63,7,2.0
Nigeria,42,5,2,9.1
Namibia,376,3,1,6.8
Cote d'ivoire,37,1,7,4.0
Czech republic,361,170,134,11.8
Tanzania,36,6,1,5.7
Togo,36,2,19,1.3
Tonga,36,21,5,1.1
Gabon,347,98,59,8.9
Germany,346,117,175,11.3
Lithuania,343,244,56,12.9
Poland,343,215,56,10.9
Benin,34,4,13,1.1
Venezuela,333,100,3,7.7
Dr congo,32,3,1,2.3
Zambia,32,19,4,2.5
Ireland,313,118,165,11.4
Brunei,31,2,1,0.6
Ghana,31,3,10,1.8
Kyrgyzstan,31,97,6,2.4
Montenegro,31,114,128,4.9
Palau,306,63,23,6.9
Niger,3,2,1,0.1
Romania,297,122,167,10.4
Belgium,295,84,212,10.5
Panama,285,104,18,7.2
Spain,284,157,112,10.0
Serbia,283,131,127,9.6
Latvia,281,216,62,10.5
Guinea-bissau,28,31,21,2.5
Austria,279,75,191,9.7
Slovenia,270,51,276,10.6
Belize,263,114,8,6.8
Finland,263,133,97,10.0
Australia,261,72,212,10.4
Madagascar,26,15,4,0.8
Netherlands,251,88,190,9.4
Algeria,25,0,14,0.7
Burkina faso,25,7,7,4.3
Sierra leone,25,3,2,6.7
Uzbekistan,25,101,8,2.4
Usa,249,158,84,8.7
Russian federation,247,326,73,11.5
Andorra,245,138,312,12.4
Brazil,245,145,16,7.2
Canada,240,122,100,8.2
Mexico,238,68,5,5.5
Luxembourg,236,133,271,11.4
Hungary,234,215,185,11.3
Iceland,233,61,78,6.6
Bulgaria,231,252,94,10.3
Croatia,230,87,254,10.2
Bhutan,23,0,0,0.4
South africa,225,76,81,8.2
Denmark,224,81,278,10.4
Estonia,224,194,59,9.5
Oman,22,16,1,0.7
United kingdom,219,126,195,10.4
Angola,217,57,45,5.9
Paraguay,213,117,74,7.3
Armenia,21,179,11,3.8
Azerbaijan,21,46,5,1.3
Kiribati,21,34,1,1.0
Vanuatu,21,18,11,0.9
Ukraine,206,237,45,8.9
New zealand,203,79,175,9.3
Ethiopia,20,3,0,0.7
Lebanon,20,55,31,1.9
Tajikistan,2,15,0,0.3
Grenada,199,438,28,11.9
Trinidad & tobago,197,156,7,6.4
Slovakia,196,293,116,11.4
Portugal,194,67,339,11.0
St. kitts & nevis,194,205,32,7.7
Argentina,193,25,221,8.3
Dominican republic,193,147,9,6.2
Cyprus,192,154,113,8.2
Liberia,19,152,2,3.1
Turkmenistan,19,71,32,2.2
Niue,188,200,7,7.0
Switzerland,185,100,280,10.2
Eritrea,18,0,0,0.5
Botswana,173,35,35,5.4
St. lucia,171,315,71,10.1
Central african republic,17,2,1,1.8
Norway,169,71,129,6.7
Bolivia,167,41,8,3.8
Peru,163,160,21,6.1
Ecuador,162,74,3,4.2
Sri lanka,16,104,0,2.2
United arab emirates,16,135,5,2.8
Colombia,159,76,3,4.2
Seychelles,157,25,51,4.1
Sweden,152,60,186,7.2
Chad,15,1,1,0.4
Djibouti,15,44,3,1.1
Costa rica,149,87,11,4.4
Malta,149,100,120,6.6
Cameroon,147,1,4,5.8
Cabo verde,144,56,16,4.0
Barbados,143,173,36,6.3
Belarus,142,373,42,14.4
South korea,140,16,9,9.8
Greece,133,112,218,8.3
Chile,130,124,172,7.6
Malaysia,13,4,0,0.3
Suriname,128,178,7,5.6
France,127,151,370,11.8
Kazakhstan,124,246,12,6.8
Bahamas,122,176,51,6.3
St. vincent & the grenadines,120,221,11,6.3
Morocco,12,6,10,0.5
Uruguay,115,35,220,6.6
Vietnam,111,2,1,2.0
Moldova,109,226,18,6.3
Macedonia,106,27,86,3.9
Samoa,105,18,24,2.6
Antigua & barbuda,102,128,45,4.9
Comoros,1,3,1,0.1
Haiti,1,326,1,5.9
Qatar,1,42,7,0.9
Timor-leste,1,1,4,0.1
Afghanistan,0,0,0,0.0
Bangladesh,0,0,0,0.0
Cook islands,0,254,74,5.9
Iran,0,0,0,0.0
Kuwait,0,0,0,0.0
Libya,0,0,0,0.0
Maldives,0,0,0,0.0
Marshall islands,0,0,0,0.0
Mauritania,0,0,0,0.0
Monaco,0,0,0,0.0
North korea,0,0,0,0.0
Pakistan,0,0,0,0.0
San marino,0,0,0,0.0
Saudi arabia,0,5,0,0.1
Somalia,0,0,0,0.0
